bookname,booktype,stock,price,sales,author,profile,available
百年孤独,外国文学,120,5800,1470,加西亚·马尔克斯,《百年孤独》是哥伦比亚作家加西亚·马尔克斯的代表作，是魔幻现实主义的经典之作，讲述了布恩迪亚家族七代人的故事。,1
哈利·波特与魔法石,外国文学,200,4500,250,J.K. 罗琳,《哈利·波特与魔法石》是J.K.罗琳创作的《哈利·波特》系列的第一部，讲述了少年哈利·波特进入魔法学校霍格沃茨的故事。,1
雾都孤儿,外国文学,47,6800,125,查尔斯·狄更斯,《雾都孤儿》是英国作家查尔斯·狄更斯的经典小说，讲述了孤儿奥利弗·特威斯特的悲惨遭遇和成长故事。,1
挪威的森林,外国文学,80,4900,17,村上春树,《挪威的森林》是村上春树的代表作之一，讲述了主人公渡边与女性之间复杂的情感纠葛，是一部深刻探讨青春与死亡的作品。,1
堂·吉诃德,外国文学,179,3450,864,塞万提斯,故事发生时，骑士早已绝迹一个多世纪，但主角阿隆索·吉哈诺（唐·吉诃德原名）却因为沉迷于骑士小说，时常幻想自己是个中世纪骑士，进而自封为“唐·吉诃德·德·拉曼却”（拉曼却地区的守护者），拉着邻居桑丘·潘沙做自己的仆人，“行侠仗义”、游走天下，做出了种种与时代相悖、令人匪夷所思的行径，结果四处碰壁。但最终从梦幻中苏醒过来。回到家乡后死去。,1
格列佛游记,外国文学,267,4670,315,乔纳森·斯威夫特,品以里梅尔·格列佛（又译为莱缪尔·格列佛）船长的口气叙述周游四国的经历。通过格列佛在利立浦特、布罗卜丁奈格、飞岛国、慧骃国的奇遇，反映了18世纪前半期英国统治阶级的腐败和罪恶。,1
傲慢与偏见,外国文学,86,5800,51,简·奥斯汀,说描写了小乡绅班纳特五个待字闺中的千金，班纳特太太整天操心着为女儿们物色未来的丈夫。主角是二女儿伊丽莎白·班纳特，她在舞会上认识了仪表堂堂、家境富裕的达西，但是耳闻他为人傲慢，一直对他心生排斥，经历一番周折，伊丽莎白解除了对达西的偏见，达西也放下傲慢，有情人终成眷属。,1
呼啸山庄,外国文学,67,8590,65,艾米莉·勃朗特,小说描写吉卜赛弃儿希斯克利夫被山庄老主人收养后，因受辱和恋爱不遂，外出致富。回来后，对与其女友凯瑟琳结婚的地主林顿及其子女进行报复的故事。全篇充满强烈的反压迫、争幸福的斗争精神，又始终笼罩着离奇、紧张的浪漫气氛。,1
大卫 ·科波菲尔,外国文学,17,12700,0,狄更斯,全书采用第一人称叙事，融进了作者本人的许多生活经历。小说讲述了主人公大卫从幼年至中年的生活历程，以“我”的出生为源，将朋友的真诚与阴暗、爱情的幼稚与冲动、婚姻的甜美与琐碎、家人的矛盾与和谐汇聚成一条溪流，在命运的河床上缓缓流淌，最终融入宽容壮美的大海。,1
红楼梦,古典文学,165,5100,848,曹雪芹,《红楼梦》是中国古代文学的巅峰之作，描述了贾宝玉与林黛玉、薛宝钗等人物的复杂关系，展现了封建社会的兴衰变迁；中国四大名著之一。,1
西游记,古典文学,1225,4200,2790,吴承恩,《西游记》是中国古代第一部浪漫主义章回体长篇神魔小说，中国四大名著之一。,1
水浒传,古典文学,262,3800,1137,施耐庵,《水浒传》，中国四大名著之一，是一部以北宋末年宋江起义为主要故事背景、类型上属于英雄传奇的章回体长篇小说。,1
三国演义,古典文学,261,3800,1256,罗贯中,《三国演义》是元末明初小说家罗贯中根据陈寿《三国志》和裴松之注解以及民间三国故事传说经过艺术加工创作而成的长篇章回体历史演义小说，四大名著之一。,1
史记,古典文学,58,8900,63,司马迁,《史记》，二十四史之一，最初称为《太史公书》或《太史公记》《太史记》，是西汉史学家司马迁撰写的纪传体史书，是中国历史上第一部纪传体通史，记载了上至上古传说中的黄帝时代，下至汉武帝太初四年间共三千多年的历史。,1
儒林外史,古典文学,167,3600,215,吴敬梓,全书五十六回，以写实主义描绘各类人士对于“功名富贵”的不同表现，一方面真实地揭示人性被腐蚀的过程和原因，从而对当时吏治的腐败、科举的弊端、礼教的虚伪等进行了深刻的批判和嘲讽。,1
道德经,古典文学,37,7600,16,老子,道德经》，春秋时期老子所著的哲学作品，又称《德道经》《道德真经》《老子》《五千言》《老子五千文》，是中国古代先秦诸子分家前的一部著作，是道家哲学思想的重要来源。,1
全职高手,网络文学,500,3900,350,蝴蝶蓝,网游荣耀中被誉为教科书级别的顶尖高手叶修，因为种种原因遭到俱乐部的驱逐，离开职业圈的他栖身于一家网吧成了一个小小的网管，但是，拥有十年游戏经验的他，在荣耀新开的第十区重新投入了游戏，带着往昔的回忆和一把由苏沐秋制作的、却因游戏版本更新被迫搁置的银武千机伞，开始了重返巅峰之路。,1
剑来1-5,网络文学,1395,19800,1515,烽火戏诸侯,中土世界，无奇不有。天地中央，有个曾用一剑劈出天河瀑布的读书人，人间最得意。东海崖畔，有个不愿飞升枯坐山巅的无名道人，只愿清风拂面。西方净土，有个喜欢请人喝鸡汤、给人说故事的老和尚，豢养有九条天龙。蛮荒南疆，有个目盲画师，驱使与山岳等高的金甲傀儡，搬动十万大山，铺就一幅锦绣图画。一个生长在北方的贫寒少年，当他有一天看到头顶竟有成千上万的御剑仙人，如同蝗群过境。他就想去亲眼去看一看，说书先生所说的那位读书人，东海的滔天大潮、西方的黄沙万里和南荒的巍峨大山。,1
剑来6-10,网络文学,1256,19800,2141,烽火戏诸侯,中土世界，无奇不有。天地中央，有个曾用一剑劈出天河瀑布的读书人，人间最得意。东海崖畔，有个不愿飞升枯坐山巅的无名道人，只愿清风拂面。西方净土，有个喜欢请人喝鸡汤、给人说故事的老和尚，豢养有九条天龙。蛮荒南疆，有个目盲画师，驱使与山岳等高的金甲傀儡，搬动十万大山，铺就一幅锦绣图画。一个生长在北方的贫寒少年，当他有一天看到头顶竟有成千上万的御剑仙人，如同蝗群过境。他就想去亲眼去看一看，说书先生所说的那位读书人，东海的滔天大潮、西方的黄沙万里和南荒的巍峨大山。,1
剑来11-15,网络文学,1161,19800,1211,烽火戏诸侯,中土世界，无奇不有。天地中央，有个曾用一剑劈出天河瀑布的读书人，人间最得意。东海崖畔，有个不愿飞升枯坐山巅的无名道人，只愿清风拂面。西方净土，有个喜欢请人喝鸡汤、给人说故事的老和尚，豢养有九条天龙。蛮荒南疆，有个目盲画师，驱使与山岳等高的金甲傀儡，搬动十万大山，铺就一幅锦绣图画。一个生长在北方的贫寒少年，当他有一天看到头顶竟有成千上万的御剑仙人，如同蝗群过境。他就想去亲眼去看一看，说书先生所说的那位读书人，东海的滔天大潮、西方的黄沙万里和南荒的巍峨大山。,1
剑来16-20,网络文学,1246,19800,1512,烽火戏诸侯,中土世界，无奇不有。天地中央，有个曾用一剑劈出天河瀑布的读书人，人间最得意。东海崖畔，有个不愿飞升枯坐山巅的无名道人，只愿清风拂面。西方净土，有个喜欢请人喝鸡汤、给人说故事的老和尚，豢养有九条天龙。蛮荒南疆，有个目盲画师，驱使与山岳等高的金甲傀儡，搬动十万大山，铺就一幅锦绣图画。一个生长在北方的贫寒少年，当他有一天看到头顶竟有成千上万的御剑仙人，如同蝗群过境。他就想去亲眼去看一看，说书先生所说的那位读书人，东海的滔天大潮、西方的黄沙万里和南荒的巍峨大山。,1
剑来21-25,网络文学,1261,19800,859,烽火戏诸侯,中土世界，无奇不有。天地中央，有个曾用一剑劈出天河瀑布的读书人，人间最得意。东海崖畔，有个不愿飞升枯坐山巅的无名道人，只愿清风拂面。西方净土，有个喜欢请人喝鸡汤、给人说故事的老和尚，豢养有九条天龙。蛮荒南疆，有个目盲画师，驱使与山岳等高的金甲傀儡，搬动十万大山，铺就一幅锦绣图画。一个生长在北方的贫寒少年，当他有一天看到头顶竟有成千上万的御剑仙人，如同蝗群过境。他就想去亲眼去看一看，说书先生所说的那位读书人，东海的滔天大潮、西方的黄沙万里和南荒的巍峨大山。,1
诡秘之主(全套),网络文学,1368,39800,1215,爱潜水的乌贼,蒸汽与机械的浪潮中，谁能触及非凡。历史和黑暗的迷雾里，又是谁在耳语。我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。,1
赤心巡天1-5,网络文学,156,17800,612,情何以甚,上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！,1
赤心巡天6-10,网络文学,76,17800,890,情何以甚,上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！,1
赤心巡天11-15,网络文学,0,24800,17,情何以甚,上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！,1
欢迎来到实力至上主义的教室1-5,轻小说,16,4800,72,衣笠彰梧,真正的实力、平等究竟为何？几乎百分之百实现升学、就业目标的全国首屈一指的名校──高度育成高中。这间简直如同乐园般的学校，真面目却是唯有优秀者才能享受优待的实力至上主义学校！,1
游戏人生 第六卷,轻小说,178,2510,3163,榎宫佑,创世的‘唯一神’……将揭露六千年前不为人知的大战真相！,1
想要成为影之实力者,轻小说,156,1660,231,逢泽大介,「吾名暗影。乃潜伏于暗影之中，狩猎暗影之人……」少年席德憧憬着以路人身分隐藏自身力量，不为人知地介入故事，展现实力的「影之强者」──转生到异世界后，企图充分享受这种设定的席德，为了击溃妄想中的敌人「黑暗教团」而暗中大显身手。,1
Re从零开始的异世界生活,轻小说,15,4780,378,长月达平,「死亡回归」──无力的少年得到的唯一能力，是死后时间会倒转回到一开始。跨越无数绝望，从死亡的命运中拯救少女！,0
Python数据分析入门,教育,8,5900,32,沈祥壮,从数据分析道可视化，应用Python轻松实现数据分析和数据处理。,1
C Prime Plus,教育,16,6000,27,史蒂夫·普拉达,详细讲解了C语言的基本概念和编程技巧。,1
C++ Prime plus,教育,21,6400,32,史蒂夫·普拉达,别介绍了C++程序的运行方式、基本数据类型、复合数据类型、循环和关系表达式、分支语句和逻辑运算符、函数重载和函数模板、内存模型和名称空间、类的设计和使用、多态、虚函数、动态内存分配、继承、代码重用、友元、异常处理技术、string类和标准模板库、输入/输出、C++11新增功能等内容。,1
陈凭案游记,教育,0,88800,0,崔瀺,故人故事故纸堆，都无所谓了。何况不无所谓，又能如何呢？,1
